SRR8367191	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col17_SL4-2\tSM:SRR8367191\tLBCol17_SL4-2'
SRR8367228	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col17_SL4-3\tSM:SRR8367228\tLBCol17_SL4-3'
SRR8367227	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col17_SL5-1\tSM:SRR8367227\tLBCol17_SL5-1'
SRR8367230	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col17_SL5-3\tSM:SRR8367230\tLBCol17_SL5-3'
SRR8367229	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col17_SL6-1\tSM:SRR8367229\tLBCol17_SL6-1'
SRR8367232	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col17_SL6-2\tSM:SRR8367232\tLBCol17_SL6-2'
SRR8367231	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col17_SL7-1\tSM:SRR8367231\tLBCol17_SL7-1'
SRR8367234	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col17_SL7-2\tSM:SRR8367234\tLBCol17_SL7-2'
SRR8367233	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col17_SL8-1\tSM:SRR8367233\tLBCol17_SL8-1'
SRR8367226	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col17_SL8-2\tSM:SRR8367226\tLBCol17_SL8-2'
SRR8367244	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col24_SL1-1\tSM:SRR8367244\tLBCol24_SL1-1'
SRR8367243	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col24_SL1-2\tSM:SRR8367243\tLBCol24_SL1-2'
SRR8367242	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col24_SL1-3\tSM:SRR8367242\tLBCol24_SL1-3'
SRR8367241	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col24_SL2-1\tSM:SRR8367241\tLBCol24_SL2-1'
